Wydarzenie,data;
Henryk Sienkiewicz zdobywa Nagrodę Nobla, 10/12/1905;
Uroczyste obchody 500-lecia Bitwy Pod Grunwaldem w Krakowie, 15/7/1910;
Rozpoczęcie bitwy pod Gorlicami, 2/5/1915;
Zakończenie Bitwy Warszawskiej, 25/08/1920;
Publikacja pierwszej polskiej krzyżówki na łamach Kuriera Warszawskiego, 31/1/1925;
Powołanie drugiego rządu Józefa Piłsudskiego, 25/8/1930;
Uchwalenie Konstytucji Kwietniowej, 23/3/1935;
Witold Pilecki pozwala się aresztować Niemcom podczas łapanki, 19/9/1940;
Rozwiązanie AK, 19/1/1945;
Na ulicach Warszawy rozpoczęła kursowanie pierwsza miejska taksówka, 23/10/1950;
Oficjalne otwarcie Stadionu Dziesięciolecia i Pałącu Kultury i Nauki, 22/7/1955;
Premiera Wesela Wyspiańskiego w Teatrze Miejskim w Krakowie, 16/3/1901;
Ogłoszenie Manifestu PKWN, 22/7/1944;
Wybuch Powstania Warszawskiego, 1/8/1944;
Podpisanie Układu Sikorski-Majski , 30/7/1941;
Pierwszy koncert Iron Maiden w Polsce, 9/8/1984;
Zamach na Gabrueka Narutowicza, 16/12/1922;
Odzyskanie niepodległości przez Polskę, 11/11/1918;
Atak ZSRR na Polskę , 17/9/1939;
Emisja pierwszego odcinka Reksia, 1/1/1967;
Obrona Krzyża Nowohuckiego, 27/4/1960;
Emisja pierwszego odcinka Świata według Kiepskich, 16/3/1999;
Śmierć Magika, 26/12/2000;
Objęcie przez Władysława Gomułkę funkcji I sekretarza KC PZPR, 21/10/1956;
Jan Paweł 2 zostaje papieżem, 16/10/1978;
Rozpoczęcie Przewrotu Majowego, 12/5/1926;
Samospalenie Ryszarda Siwca, 8/9/1968;
Pierwszy finał WOŚP, 3/1/1993;
Polska premiera Listy Schindlera, 4/3/1994;
Premiera Pszczółki Mai w TVP, 26/12/1979;
Rozpoczęcie obrad Okrągłego Stołu, 6/2/1989;
Dymisja rządu Tadeusza Mazowieckiego, 14/12/1990;
Wprowadzenie stanu wojennego, 13/12/1981;
Pierwszy koncert Depeche Mode w Polsce, 30/7/1985;
Premiera Ferdydurke, 9/10/1937;
Rozpoczęcie wizyty Josipa Broz-Tity, 10/3/1975;
Opublikowanie listu otwartego do członków PZPR przez Jacka Kuronia i Karola Modzelewskiego, 18/3/1965;
