Wojewodztwo,matematyka,język angielski,język niemiecki,język polski,język rosyjski
Dolnośląskie,48.8742532420224,66.1043465949313,53.0677290836653,57.9690962099125,92.3125
Kujawsko-Pomorskie,45.6894001643385,61.2194619111432,45.8716216216216,58.1601273623665,69.5151515151515
Lubelskie,50.7123076923077,63.6585626762618,55.1142857142857,63.1419646289889,51.895652173913
Lubuskie,42.4476715072609,61.1509735929581,45.1557788944724,56.1813627254509,76
Łódzkie,51.6739779807118,65.0392718692061,65.1529411764706,58.8572281959379,81.7967479674797
Małopolskie,58.7818385322887,70.0629917482249,70.049504950495,66.7391346668613,89.8888888888889
Mazowieckie,57.4140867586928,71.9775441522471,57.3611111111111,65.6705495451193,80.2549668874172
Opolskie,47.8817610062893,64.0135001646362,62.1106194690265,56.1584407419051,81.1111111111111
Podkarpackie,53.8900134952767,66.6976999830881,70.3684210526316,62.8103753690426,89.5
Podlaskie,49.6299079466466,63.4865428354814,54.2258064516129,57.4350685961285,76.0622710622711
Pomorskie,51.0624584226476,66.2475219282607,65.7142857142857,59.1644503546099,88.936170212766
Śląskie,49.5388707532342,66.488072519084,59.5720930232558,58.0355998791176,89.5945945945946
Świętokrzyskie,51.5868781542898,64.4220978515978,67.7777777777778,59.1925365062196,73.3333333333333
Warmińsko-Mazurskie,43.5687822654115,59.7170160295931,45.5909090909091,55.3692284325638,80.7777777777778
Wielkopolskie,48.5740797265124,64.3750150802268,47.5748299319728,57.481542498017,84.5
Zachodniopomorskie,45.5050119331742,64.0429855893583,48.6072796934866,54.990447761194,97.2
