province,year,overall overall,overall man,overall woman,0-4 overall,0-4 man,0-4 woman,5-9 overall,5-9 man,5-9 woman,10-14 overall,10-14 man,10-14 woman,15-19 overall,15-19 man,15-19 woman,20-24 overall,20-24 man,20-24 woman,25-29 overall,25-29 man,25-29 woman,30-34 overall,30-34 man,30-34 woman,35-39 overall,35-39 man,35-39 woman,40-44 overall,40-44 man,40-44 woman,45-49 overall,45-49 man,45-49 woman,50-54 overall,50-54 man,50-54 woman,55-59 overall,55-59 man,55-59 woman,60-64 overall,60-64 man,60-64 woman,65-69 overall,65-69 man,65-69 woman,70 and older overall,70 and older man,70 and older woman,70-74 overall,70-74 man,70-74 woman,75-79 overall,75-79 man,75-79 woman,80-84 overall,80-84 man,80-84 woman,85 and older overall,85 and older man,85 and older woman,pre-working age,working age,post-working age
DOLNOŚLĄSKIE,2021,2897737,1393074,1504663,133800,68671,65129,142047,72911,69136,149953,76776,73177,123274,63279,59995,136868,68862,68006,177267,89100,88167,214704,108560,106144,255567,129312,126255,245945,124202,121743,214544,108293,106251,165841,82763,83078,162764,78794,83970,201063,93737,107326,207037,92075,114962,367063,135739,231324,166646,70202,96444,76809,29653,47156,61055,19580,41475,62553,16304,46249,549074,1667237,681426
KUJAWSKO-POMORSKIE,2021,2017720,976439,1041281,95401,49338,46063,103015,52887,50128,113201,57972,55229,97258,49865,47393,101160,51942,49218,118382,60440,57942,140456,71389,69067,167102,85020,82082,160717,81249,79468,149781,75052,74729,125769,61975,63794,122527,59359,63168,140930,66354,74576,135239,61115,74124,246782,92482,154300,109186,45886,63300,56583,21980,34603,41662,14007,27655,39351,10609,28742,408875,1152248,456597
LUBELSKIE,2021,2038299,986950,1051349,95075,48929,46146,101754,51859,49895,111825,57185,54640,100772,51660,49112,107462,55379,52083,119104,62093,57011,138994,72327,66667,162813,83805,79008,157920,80659,77261,146118,74013,72105,127067,63120,63947,126496,61747,64749,140125,66047,74078,136484,61323,75161,266290,96804,169486,108086,44681,63405,63110,23745,39365,48596,16124,32472,46498,12254,34244,409426,1152021,476852
LUBUSKIE,2021,985487,478715,506772,45082,22943,22139,50626,26079,24547,55854,28618,27236,46916,23978,22938,47248,24381,22867,55145,28238,26907,67708,34644,33064,85229,43325,41904,83106,42256,40850,74693,37915,36778,58475,29175,29300,58314,28480,29834,70603,33328,37275,69559,31314,38245,116929,44041,72888,55242,23741,31501,25031,9678,15353,18683,6024,12659,17973,4598,13375,198478,563246,223763
ŁÓDZKIE,2021,2394946,1141072,1253874,108019,55300,52719,115094,59183,55911,125056,64297,60759,108199,55553,52646,113235,58039,55196,135551,69609,65942,158496,80968,77528,190493,97246,93247,191539,96878,94661,177203,88368,88835,149787,73513,76274,143787,68747,75040,170391,77851,92540,173487,75959,97528,334609,119561,215048,142051,57540,84511,80631,29873,50758,56140,18035,38105,55787,14113,41674,456368,1337942,600636
MAŁOPOLSKIE,2021,3430370,1664051,1766319,183744,94474,89270,186659,96073,90586,192524,98769,93755,165621,84608,81013,184932,93562,91370,228504,114848,113656,265814,134173,131641,290006,145784,144222,271769,136660,135109,243190,120976,122214,207318,103237,104081,199785,98059,101726,211823,100728,111095,198571,90277,108294,400110,151823,248287,157801,67186,90615,95215,37503,57712,75019,26237,48782,72075,20897,51178,728548,1992046,709776
MAZOWIECKIE,2021,5512794,2639416,2873378,293880,150904,142976,303906,155929,147977,311442,159962,151480,258515,132231,126284,268263,136329,131934,341150,169260,171890,413144,205017,208127,479737,238752,240985,465069,230832,234237,414503,205814,208689,320207,158432,161775,294616,142598,152018,336266,155833,180433,346374,152365,194009,665722,245158,420564,269372,111526,157846,154061,58454,95607,118055,39699,78356,124234,35479,88755,1167743,3152522,1192529
OPOLSKIE,2021,948583,458694,489889,41601,21241,20360,44571,23070,21501,46543,23824,22719,41103,21108,19995,44364,22575,21789,52402,26651,25751,67821,34273,33548,79070,39807,39263,76728,38539,38189,70809,35633,35176,63419,31647,31772,64439,32217,32222,69265,33182,36083,63615,28939,34676,122833,45988,76845,50765,21477,29288,26215,10245,15970,24934,8274,16660,20919,5992,14927,173818,552234,222531
PODKARPACKIE,2021,2085932,1021087,1064845,104723,53933,50790,108837,55822,53015,116553,59668,56885,105429,54166,51263,112610,57987,54623,127347,65892,61455,153811,79516,74295,171601,87698,83903,164655,83730,80925,150654,75927,74727,130713,65187,65526,129458,64163,65295,137306,66031,71275,126525,57970,68555,245710,93397,152313,98924,42632,56292,56069,21974,34095,46602,16243,30359,44115,12548,31567,435542,1206880,443510
PODLASKIE,2021,1148720,559008,589712,56552,28934,27618,58460,30164,28296,61416,31495,29921,54557,27885,26672,58628,30216,28412,69347,36206,33141,82837,43133,39704,94135,48766,45369,86945,44233,42712,80929,40694,40235,73813,36577,37236,75099,36856,38243,81696,38977,42719,70974,32484,38490,143332,52388,90944,54418,22744,31674,33303,12674,20629,27611,9211,18400,28000,7759,20241,230985,660710,257025
POMORSKIE,2021,2358726,1146483,1212243,127796,65758,62038,130923,67235,63688,137901,70909,66992,114602,58728,55874,122603,61400,61203,151378,75691,75687,180859,90981,89878,200820,100916,99904,189366,95424,93942,170799,85648,85151,137489,68898,68591,131151,64293,66858,147779,69930,77849,147018,66426,80592,268242,104246,163996,119185,51547,67638,59093,23775,35318,45769,16108,29661,44195,12816,31379,511222,1354395,493109
ŚLĄSKIE,2021,4375947,2106002,2269945,199223,102279,96944,217036,111216,105820,230437,118020,112417,191882,98144,93738,198165,100871,97294,239363,122195,117168,301752,153333,148419,364831,185424,179407,361333,182279,179054,323952,162575,161377,276137,136227,139910,278309,134840,143469,315339,146609,168730,302639,134272,168367,575549,217718,357831,239155,100242,138913,137319,52729,84590,111345,39195,72150,87730,25552,62178,838578,2490451,1046918
